CLOSED
Version	0.4
Run	717
Instrument	2950 TGA       V5.4A
Module	TGA 1000 øC
Sample	CuSO4*5H2O standard slow
Size	8.07900	mg
Method	
Operator	AE
Comment	CuSO4*5H2O standard at 1C/min for calibration
Xcomment	Pan: Platinum           Gas1: Nitrogen  20          Gas2: Nitrogen  30
Text
Kcell	1.00000
TempCal	2	pts	24.15	22.00,	374.82	354.00
Thresholds	0.050	0.0000
Controls	Gas 1  Event Off  Sampling 2.0 sec/pt
Nsig	3
Sig1	Time (min)
Sig2	Temperature (øC)
Sig3	Weight (mg)
Date	21-May-19
Time	17:52
File	C:\TA\Data\TGA\Angela\Cannabinoids\CuSO4_5H2O_Ref_1C_min_052119.001
OrgFile	C:\TA\Data\TGA\Angela\Cannabinoids\CuSO4_5H2O_Ref_1C_min_052119.001
6.101000 32.59955 8.061044
6.134332 32.63148 8.060822
6.167666 32.66549 8.060926
6.201000 32.70030 8.060932
6.234334 32.73005 8.060910
6.267666 32.76530 8.060825
6.301000 32.79614 8.060859
6.334334 32.82966 8.060730
6.367666 32.86252 8.060571
6.401000 32.89762 8.060260
6.434332 32.92938 8.060122
6.467834 32.96347 8.060050
6.501166 33.00113 8.060111
6.534500 33.03113 8.060165
6.567834 33.06304 8.060085
6.601166 33.10259 8.059968
6.634168 33.13320 8.059807
6.667500 33.16450 8.059692
6.701000 33.20088 8.059512
6.735168 33.23404 8.059372
6.769334 33.26389 8.059250
6.802666 33.30074 8.059250
6.836000 33.33814 8.059278
6.869332 33.36778 8.059356
6.904334 33.39952 8.059150
6.939334 33.43860 8.058906
6.972668 33.47116 8.058732
7.006000 33.49985 8.058528
7.039334 33.53425 8.058462
7.072668 33.57304 8.058374
7.106000 33.60404 8.058500
7.139334 33.63714 8.058587
7.172832 33.67485 8.058429
7.206168 33.70540 8.058237
7.240332 33.73814 8.058114
7.274500 33.77594 8.058074
7.307832 33.80685 8.057837
7.340832 33.83938 8.057588
7.374334 33.87286 8.057582
7.408500 33.90562 8.057595
7.442666 33.94261 8.057468
7.476000 33.97351 8.057238
7.509332 34.00748 8.056876
7.542666 34.04226 8.056648
7.576834 34.07355 8.056568
7.611000 34.10778 8.056563
7.644334 34.14436 8.056542
7.677666 34.17472 8.056511
7.711000 34.20976 8.056431
7.745332 34.24502 8.056161
7.779500 34.27722 8.055856
7.812832 34.31314 8.055668
